Temperature;Pressure Levels
24.8;1005
24;1000
21.8;987
20.5;971
18.2;944
16.6;925
14.2;897
10.8;859
10;850
7.6;824
8.8;802
8.8;801
8.4;783
8;765
7.3;738
6.6;711
5.8;700
3.1;659
1.2;632
-0.4;609
-3.9;563
-6.1;542
-8.1;523
-10.7;500
-10.9;498
-12.2;486
-14.3;467
-15.5;451
-16.3;440
-18.8;421
-21.7;400
-22.1;397
-22.4;395
-32.2;339
-33.5;332
-39.3;300
-43.7;277
-49.3;250
-50;247
-53.7;231
-55.2;222
-59.3;200
-60.1;196
-61.6;188
-65.1;171
-59.7;150
-58.4;145
-57.9;143
-58;136
-58.2;120
-58.4;109
-58.5;100
-58.5;94
-58;87
-57.5;81
-57.1;76
-57.1;75.9
-57.5;70
-57.5;69
-57.5;68.9
-55.7;63
-54.7;59.8
-54;56
-53.1;52
-52.7;50
-52;47
-51.7;45.6
-53.1;42
-53.7;40.5
-51.5;36
-51.1;35.3
-48.7;30
-47.8;28
-47.7;27.8
-49.5;23.9
-45.3;22.4
-45.2;22
-44.7;20
-44.3;18.2
-44.2;18
-43.9;17
-43.5;16
-43.1;15
-42.5;13.6
-41.4;13
-39.4;12
-34.9;10
-33.5;9.4
-28.1;8
-28.9;7.3
0;7
;
;
;
;
;
;
;
;
;
-33.756;0.1
-20.9345;0.2
-6.26263;0.5
-1.88309;1
-5.22394;1.5
-7.62131;2
-14.6894;3
-20.2721;4
-24.5952;5
-29.7711;7
-37.1381;10
-41.638;15
-46.0961;20
-48.5788;25
-51.0921;30
-52.959;50
-54.775;60
-56.6201;70
-57.6067;85
-58.6294;100
-59.3978;115
-60.4315;135
-61.2096;150
-61.5017;200
-50.7732;250
-40.4836;300
-30.9087;350
-21.9884;400
-17.531;430
-11.9711;475
-9.38336;500
-2.8902;570
1.02942;620
4.51321;670
6.44083;700
8.68524;780
11.0589;850
16.8695;920
19.2656;950
21.3655;1000
21.1221;1025
20.8846;1050
